# Handkontrollerade ordpar: engelska	italienska. En rad, ett par.
nation	nazione
information	informazione
station	stazione
attention	attenzione
education	educazione
situation	situazione
condition	condizione
action	azione
invitation	invitazione
relation	relazione
tradition	tradizione
position	posizione
operation	operazione
generation	generazione
solution	soluzione
direction	direzione
production	produzione
emotion	emozione
ambition	ambizione
reaction	reazione
collection	collezione
attraction	attrazione
function	funzione
protection	protezione
selection	selezione
destination	destinazione
imagination	immaginazione
organization	organizzazione
construction	costruzione
revolution	rivoluzione
population	popolazione
television	televisione
decision	decisione
explosion	esplosione
profession	professione
passion	passione
version	versione
occasion	occasione
expression	espressione
impression	impressione
confusion	confusione
division	divisione
conclusion	conclusione
dimension	dimensione
tension	tensione
pension	pensione
mission	missione
discussion	discussione
illusion	illusione
university	università
quality	qualità
liberty	libertà
society	società
possibility	possibilità
identity	identità
city	città
curiosity	curiosità
activity	attività
ability	abilità
necessity	necessità
nationality	nazionalità
personality	personalità
community	comunità
authority	autorità
priority	priorità
quantity	quantità
humanity	umanità
difficulty	difficoltà
opportunity	opportunità
electricity	elettricità
velocity	velocità
capacity	capacità
unity	unità
national	nazionale
personal	personale
natural	naturale
special	speciale
central	centrale
original	originale
total	totale
normal	normale
general	generale
local	locale
social	sociale
final	finale
formal	formale
legal	legale
moral	morale
animal	animale
capital	capitale
digital	digitale
ideal	ideale
material	materiale
musical	musicale
professional	professionale
international	internazionale
federal	federale
global	globale
vital	vitale
mental	mentale
rural	rurale
brutal	brutale
oral	orale
famous	famoso
curious	curioso
nervous	nervoso
generous	generoso
religious	religioso
numerous	numeroso
furious	furioso
glorious	glorioso
victorious	vittorioso
harmonious	armonioso
studious	studioso
mysterious	misterioso
contagious	contagioso
gracious	grazioso
spacious	spazioso
precious	prezioso
delicious	delizioso
ambitious	ambizioso
possible	possibile
terrible	terribile
incredible	incredibile
probable	probabile
visible	visibile
impossible	impossibile
horrible	orribile
flexible	flessibile
sensible	sensibile
responsible	responsabile
invisible	invisibile
compatible	compatibile
accessible	accessibile
inevitable	inevitabile
adorable	adorabile
memorable	memorabile
miserable	miserabile
importance	importanza
distance	distanza
elegance	eleganza
abundance	abbondanza
tolerance	tolleranza
ignorance	ignoranza
substance	sostanza
vigilance	vigilanza
arrogance	arroganza
fragrance	fragranza
difference	differenza
patience	pazienza
experience	esperienza
presence	presenza
violence	violenza
science	scienza
conference	conferenza
preference	preferenza
influence	influenza
evidence	evidenza
intelligence	intelligenza
competence	competenza
existence	esistenza
independence	indipendenza
coincidence	coincidenza
essence	essenza
absence	assenza
moment	momento
document	documento
element	elemento
instrument	strumento
apartment	appartamento
department	dipartimento
movement	movimento
argument	argomento
monument	monumento
temperament	temperamento
compliment	complimento
experiment	esperimento
fragment	frammento
sentiment	sentimento
supplement	supplemento
treatment	trattamento
payment	pagamento
public	pubblico
romantic	romantico
classic	classico
electric	elettrico
historic	storico
economic	economico
automatic	automatico
fantastic	fantastico
specific	specifico
dramatic	drammatico
logic	logico
magic	magico
tragic	tragico
comic	comico
artistic	artistico
atomic	atomico
organic	organico
dynamic	dinamico
symbolic	simbolico
authentic	autentico
academic	accademico
artist	artista
tourist	turista
pianist	pianista
dentist	dentista
journalist	giornalista
optimist	ottimista
economist	economista
specialist	specialista
realist	realista
idealist	idealista
activist	attivista
violinist	violinista
communist	comunista
pessimist	pessimista
egoist	egoista
finalist	finalista
positive	positivo
negative	negativo
creative	creativo
active	attivo
relative	relativo
alternative	alternativo
decisive	decisivo
intensive	intensivo
exclusive	esclusivo
progressive	progressivo
primitive	primitivo
collective	collettivo
error	errore
motor	motore
color	colore
professor	professore
actor	attore
doctor	dottore
author	autore
horror	orrore
terror	terrore
honor	onore
favor	favore
director	direttore
inventor	inventore
senator	senatore
editor	editore
factor	fattore
sector	settore
vapor	vapore
rumor	rumore
humor	umore
culture	cultura
nature	natura
adventure	avventura
temperature	temperatura
structure	struttura
figure	figura
literature	letteratura
creature	creatura
architecture	architettura
agriculture	agricoltura
sculpture	scultura
organize	organizzare
realize	realizzare
analyze	analizzare
utilize	utilizzare
modernize	modernizzare
memorize	memorizzare
minimize	minimizzare
maximize	massimizzare
normalize	normalizzare
symbolize	simbolizzare
civilize	civilizzare
specialize	specializzare
visualize	visualizzare
generalize	generalizzare
tourism	turismo
optimism	ottimismo
capitalism	capitalismo
socialism	socialismo
realism	realismo
idealism	idealismo
mechanism	meccanismo
organism	organismo
symbolism	simbolismo
nationalism	nazionalismo
racism	razzismo
egoism	egoismo
journalism	giornalismo
psychology	psicologia
technology	tecnologia
biology	biologia
geology	geologia
sociology	sociologia
ideology	ideologia
methodology	metodologia
terminology	terminologia
mythology	mitologia
